code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600130,2018-04-21,2017-12-31,-0.166172,1.355498,1.300373,1.000000,-0.094274,0.998919,0.994424,-0.094905
sh.600131,2018-03-31,2017-12-31,0.072859,2.166251,0.345316,1.022783,0.095230,0.998883,0.622265,0.153209
sh.600132,2018-04-14,2017-12-31,0.275285,2.870906,0.924212,1.010244,0.102699,0.945292,0.965536,0.112520
sh.600133,2018-04-17,2017-12-31,0.328474,7.741517,0.350514,0.949484,0.127492,0.885970,0.719369,0.200038
sh.600135,2018-03-31,2017-12-31,0.035599,1.328239,0.837612,0.963350,0.033215,0.923722,0.990731,0.036294
sh.600136,2018-03-20,2017-12-31,0.052179,1.772708,0.209491,0.861852,0.163027,0.781017,0.666246,0.313302
sh.600137,2018-04-24,2017-12-31,0.049334,1.330219,0.554903,1.000000,0.066836,0.878176,1.048328,0.072599
sh.600138,2018-04-27,2017-12-31,0.106994,2.243037,0.919419,0.662581,0.078301,0.744989,0.956696,0.109862
sh.600139,2018-04-28,2017-12-31,-0.838651,7.704688,0.052134,0.940158,-2.220783,1.006307,1.078828,-2.045613
sh.600141,2018-03-31,2017-12-31,0.053580,3.599083,0.730812,0.533277,0.038199,0.783118,0.947179,0.051498
sh.600143,2018-04-24,2017-12-31,0.055981,2.094872,1.128405,0.993481,0.023837,0.868848,0.652654,0.042037
sh.600145,2018-04-28,2017-12-31,0.016492,1.415553,0.388780,1.000000,0.029967,1.000000,2.291004,0.013080
sh.600146,2018-04-26,2017-12-31,0.070908,1.387296,0.530428,0.982185,0.098108,0.852951,0.974186,0.118069
sh.600148,2018-04-19,2017-12-31,0.046606,2.569853,0.774793,0.500166,0.046799,0.854098,1.001689,0.054701
sh.600149,2018-04-28,2017-12-31,0.105082,1.391958,0.188904,1.003829,0.398109,1.000000,1.002852,0.396977
sh.600150,2018-04-21,2017-12-31,-0.167068,3.806551,0.318498,0.904253,-0.152393,1.023798,1.360010,-0.109448
sh.600151,2018-04-27,2017-12-31,-0.052306,2.275508,0.495064,0.887493,-0.052318,1.086148,1.995081,-0.024144
sh.600152,2018-04-18,2017-12-31,0.016992,1.927018,0.846985,1.627644,0.006396,0.616336,0.528057,0.019653
sh.600153,2018-04-17,2017-12-31,0.147566,6.683506,1.449037,0.690238,0.022075,0.729281,0.707662,0.042774
sh.600155,2018-04-17,2017-12-31,0.008806,2.296887,0.061536,0.949078,0.065648,0.673800,0.998774,0.097550
sh.600156,2018-04-12,2017-12-31,-0.130541,1.656484,0.648563,0.738650,-0.164501,1.015799,0.961367,-0.168450
sh.600157,2018-04-28,2017-12-31,0.025098,4.276769,0.218118,0.694655,0.038731,0.767363,0.273506,0.184540
