code,mean,std
sz.002178,0.021764,
sz.002288,0.021803,
sh.600489,0.021811,
sz.000557,0.021859,
sh.600573,0.021912,
sz.002319,0.021928,
sz.000523,0.022029,
sz.002703,0.022154,
sz.000929,0.022205,
sz.300333,0.022209,
sz.002417,0.022218,
sh.601212,0.022275,
sz.000045,0.022282,
sh.600292,0.022296,
sz.002409,0.022452,
sz.002226,0.022565,
sz.000759,0.022648,
sh.600435,0.022703,
sh.601168,0.022734,
sh.600011,0.022835,
sz.000850,0.022864,
sh.600288,0.022922,
sh.600847,0.02305,
sh.600178,0.023055,
sz.002474,0.023172,
sz.000606,0.023194,
sz.002095,0.023247,
sz.002162,0.023477,
sz.300002,0.023488,
sh.603118,0.023505,
sh.603789,0.023541,
sz.002251,0.023633,
sz.300290,0.023647,
sz.002848,0.023765,
sh.600973,0.023807,
sh.600190,0.02401,
sz.002487,0.024114,
sz.002489,0.024138,
sz.000533,0.024145,
sz.300534,0.024171,
sz.000812,0.024182,
sh.600620,0.024242,
sz.002151,0.024264,
sh.600862,0.024272,
sz.002579,0.024309,
sz.300405,0.024329,
sh.601777,0.024496,
sz.002689,0.024611,
sz.002156,0.024829,
sh.600578,0.024863,
sh.600730,0.024964,
sh.603011,0.024978,
sz.002386,0.024989,
sz.002321,0.025008,
sh.600157,0.025098,
sh.600558,0.025175,
sh.600428,0.025178,
sz.300096,0.025187,
sz.300491,0.025349,
sz.000982,0.025394,
sz.300110,0.025446,
sz.002015,0.025491,
sz.002012,0.025523,
sz.002671,0.025741,
sh.600353,0.025744,
sz.000958,0.026025,
sz.002211,0.026041,
sz.002578,0.026157,
sz.002165,0.026256,
sz.300332,0.026471,
sh.600864,0.02651,
sz.002580,0.026523,
sh.600851,0.026561,
sz.300254,0.026622,
sh.600391,0.02664,
sz.300150,0.026669,
sz.300318,0.026853,
sh.600810,0.026891,
sh.600069,0.026916,
sz.002265,0.026943,
sz.002669,0.026977,
sh.600310,0.026986,
sh.603335,0.027019,
sz.300489,0.02712,
sz.300152,0.027174,
sz.300582,0.027224,
sz.000514,0.027246,
sz.300048,0.027286,
sz.002364,0.027288,
sz.000750,0.027316,
sh.600616,0.027407,
sz.002363,0.027431,
sh.600560,0.027463,
sz.300086,0.027494,
sz.000595,0.027582,
sh.601898,0.027604,
sh.601717,0.027766,
sz.002122,0.02777,
sh.600890,0.027788,
sh.600599,0.027909,
sz.300023,0.027911,
sh.600839,0.02795,
sh.601880,0.027951,
sz.002213,0.02798,
sz.002574,0.028123,
sz.000009,0.028125,
sz.002307,0.028165,
sz.300346,0.028181,
sh.600354,0.028261,
sz.002193,0.028276,
sh.600275,0.028381,
sh.600773,0.028405,
sh.600774,0.028444,
sz.002243,0.028457,
sh.600865,0.028464,
sh.603300,0.028465,
sz.300164,0.028494,
sz.002207,0.028535,
sz.300247,0.028549,
sz.002374,0.028565,
sh.600568,0.028586,
sh.600095,0.028624,
sz.300551,0.028723,
sz.002266,0.028742,
sz.000793,0.028796,
sz.300228,0.028929,
sh.600462,0.028989,
sz.000407,0.029032,
sz.300161,0.029061,
sz.000909,0.029222,
sz.300128,0.029229,
sz.000695,0.029292,
sh.600361,0.029431,
sz.300074,0.029485,
sz.000782,0.029549,
sz.000788,0.029554,
sz.300464,0.029669,
sh.600333,0.029776,
sz.300364,0.029809,
sz.000833,0.029824,
sz.002486,0.029824,
sz.300153,0.029856,
sz.002397,0.029946,
sz.300540,0.030071,
sh.600898,0.030076,
sz.002284,0.030299,
sz.002355,0.030299,
sz.000768,0.030336,
sh.600006,0.030395,
sz.300257,0.030505,
sh.600512,0.030578,
sz.002214,0.030587,
sh.600691,0.030873,
sz.300239,0.030949,
sz.002667,0.031001,
sh.600662,0.031007,
sz.000416,0.031048,
sz.002149,0.031096,
sz.300315,0.031149,
sh.600677,0.031176,
sh.600699,0.031179,
sz.000420,0.031193,
sz.002816,0.031218,
sh.600418,0.031224,
sh.600875,0.031331,
sh.600647,0.031423,
sz.000099,0.031449,
sh.600791,0.031456,
sz.300148,0.031472,
sz.002835,0.031529,
sz.300135,0.031557,
sz.000539,0.031575,
sh.600078,0.031683,
sz.300011,0.03172,
sz.300350,0.031723,
sz.000635,0.031736,
sh.600509,0.031763,
sh.603800,0.031766,
sz.300380,0.031848,
sz.000663,0.031928,
sz.002663,0.032083,
sz.002379,0.032126,
sh.600775,0.032132,
sh.601011,0.032193,
sz.002461,0.0323,
sz.000722,0.032353,
sz.300260,0.032359,
sz.300202,0.03236,
sz.000630,0.032361,
sz.002209,0.032369,
sh.603000,0.032401,
sh.600218,0.032419,
sz.300359,0.032455,
sh.600103,0.032464,
sz.002276,0.032648,
sz.002286,0.032773,
sz.300303,0.032804,
sz.002135,0.032842,
sz.000628,0.032866,
sh.600552,0.032883,
sz.300056,0.032898,
sz.002134,0.03295,
sz.002500,0.033003,
sz.300465,0.033035,
sz.000809,0.033102,
sz.002582,0.033121,
sz.002520,0.033282,
sz.300006,0.033491,
sz.300123,0.033591,
sh.601113,0.033693,
sz.300520,0.033695,
sz.002571,0.03372,
sz.300181,0.033732,
sz.300057,0.033814,
sz.002566,0.033901,
sh.600300,0.034017,
sh.600362,0.034083,
sh.600527,0.034084,
sz.000056,0.034112,
sh.600339,0.034113,
sz.002115,0.03412,
sz.002539,0.034181,
sh.600841,0.034182,
sz.300064,0.034213,
sh.600644,0.034338,
sz.000913,0.034436,
sz.300472,0.03446,
sz.300460,0.034562,
sz.002413,0.034669,
sz.000702,0.034694,
sz.000404,0.034719,
